datetime,Salmo_Salar_Downstream,P65days_count,FH1,FH2,FH3,FH4,FH5,FH6,FH7,FH8,FH9,FH10,FH11,FH12,FH13,FH14,FH15,FH16,FH17,FH18,FH19,FH20,FH21,FH22,FH23,FH24,FH25,FH26,FH27,FH28,FH29,FH30,FH31,FH32,FH33,FH34
12/3/2020,0,0,0.314516129,0.338709677,0.379032258,0.411290323,0.39516129,0.455645161,0.463709677,0.338709677,0.375,0.298387097,0.25,0.241935484,0.217741935,0.25,0.282258065,0.282258065,0.274193548,0.22983871,0.245967742,0.193548387,0.209677419,0.290322581,0.237903226,0.258064516,0.22983871,0.334677419,0.241935484,0.241935484,0.213709677,0.189516129,0.185483871,0.165322581,NA,NA
12/4/2020,0,0,0.266129032,0.22983871,0.286290323,0.35483871,0.358870968,0.362903226,0.451612903,0.415322581,0.286290323,0.326612903,0.258064516,0.245967742,0.221774194,0.213709677,0.25,0.25,0.221774194,0.254032258,0.221774194,0.213709677,0.165322581,0.209677419,0.282258065,0.241935484,0.233870968,0.205645161,0.334677419,0.241935484,0.25,0.193548387,0.181451613,0.189516129,0.181451613,NA
12/5/2020,6,6,0.096774194,0.213709677,0.177419355,0.157258065,0.278225806,0.286290323,0.314516129,0.370967742,0.391129032,0.22983871,0.318548387,0.217741935,0.193548387,0.22983871,0.193548387,0.213709677,0.209677419,0.233870968,0.197580645,0.217741935,0.205645161,0.185483871,0.177419355,0.278225806,0.185483871,0.241935484,0.209677419,0.294354839,0.213709677,0.221774194,0.197580645,0.157258065,0.153225806,0.173387097
12/6/2020,1,1,0.112903226,0.116935484,0.197580645,0.173387097,0.092741935,0.233870968,0.278225806,0.274193548,0.322580645,0.338709677,0.213709677,0.298387097,0.177419355,0.201612903,0.205645161,0.169354839,0.205645161,0.173387097,0.22983871,0.177419355,0.177419355,0.189516129,0.173387097,0.153225806,0.266129032,0.205645161,0.237903226,0.165322581,0.290322581,0.201612903,0.209677419,0.173387097,0.141129032,0.129032258
12/7/2020,0,0,0.040322581,0.14516129,0.112903226,0.185483871,0.14516129,0.120967742,0.22983871,0.237903226,0.241935484,0.310483871,0.306451613,0.177419355,0.282258065,0.173387097,0.181451613,0.177419355,0.169354839,0.185483871,0.177419355,0.225806452,0.181451613,0.181451613,0.181451613,0.165322581,0.141129032,0.233870968,0.165322581,0.237903226,0.157258065,0.258064516,0.193548387,0.185483871,0.177419355,0.120967742
12/8/2020,0,0,0.032258065,0.100806452,0.165322581,0.100806452,0.149193548,0.125,0.100806452,0.189516129,0.209677419,0.237903226,0.258064516,0.310483871,0.153225806,0.254032258,0.173387097,0.149193548,0.173387097,0.137096774,0.181451613,0.149193548,0.217741935,0.205645161,0.149193548,0.161290323,0.153225806,0.112903226,0.177419355,0.161290323,0.201612903,0.157258065,0.245967742,0.189516129,0.177419355,0.14516129
12/9/2020,0,0,0.012096774,0.072580645,0.116935484,0.149193548,0.137096774,0.141129032,0.129032258,0.108870968,0.181451613,0.209677419,0.241935484,0.233870968,0.290322581,0.165322581,0.241935484,0.173387097,0.129032258,0.165322581,0.125,0.165322581,0.116935484,0.189516129,0.185483871,0.133064516,0.153225806,0.137096774,0.129032258,0.169354839,0.165322581,0.201612903,0.137096774,0.233870968,0.177419355,0.161290323
12/10/2020,0,0,0.012096774,0.008064516,0.084677419,0.080645161,0.149193548,0.129032258,0.129032258,0.092741935,0.088709677,0.149193548,0.205645161,0.209677419,0.201612903,0.27016129,0.161290323,0.197580645,0.141129032,0.120967742,0.153225806,0.096774194,0.165322581,0.10483871,0.169354839,0.165322581,0.137096774,0.161290323,0.141129032,0.096774194,0.165322581,0.133064516,0.173387097,0.125,0.209677419,0.149193548
12/11/2020,0,0,0.02016129,0.044354839,0.068548387,0.112903226,0.088709677,0.137096774,0.137096774,0.080645161,0.080645161,0.088709677,0.141129032,0.201612903,0.225806452,0.173387097,0.254032258,0.137096774,0.201612903,0.133064516,0.137096774,0.149193548,0.092741935,0.157258065,0.129032258,0.149193548,0.157258065,0.125,0.129032258,0.129032258,0.084677419,0.137096774,0.133064516,0.189516129,0.112903226,0.189516129
12/12/2020,1,1,0.004032258,0.032258065,0.076612903,0.072580645,0.137096774,0.096774194,0.108870968,0.120967742,0.072580645,0.088709677,0.072580645,0.133064516,0.181451613,0.213709677,0.177419355,0.262096774,0.149193548,0.185483871,0.125,0.120967742,0.149193548,0.092741935,0.125,0.080645161,0.137096774,0.14516129,0.116935484,0.125,0.133064516,0.056451613,0.137096774,0.125,0.14516129,0.129032258
12/13/2020,0,0,0,0.016129032,0.048387097,0.084677419,0.060483871,0.112903226,0.088709677,0.112903226,0.10483871,0.068548387,0.084677419,0.072580645,0.112903226,0.14516129,0.185483871,0.137096774,0.233870968,0.108870968,0.161290323,0.14516129,0.116935484,0.137096774,0.10483871,0.10483871,0.088709677,0.125,0.149193548,0.10483871,0.112903226,0.100806452,0.060483871,0.133064516,0.116935484,0.153225806
12/14/2020,4,4,0.008064516,0.008064516,0.016129032,0.080645161,0.10483871,0.080645161,0.116935484,0.108870968,0.096774194,0.096774194,0.060483871,0.084677419,0.076612903,0.120967742,0.120967742,0.157258065,0.120967742,0.22983871,0.10483871,0.173387097,0.129032258,0.096774194,0.129032258,0.092741935,0.120967742,0.100806452,0.129032258,0.141129032,0.084677419,0.100806452,0.125,0.052419355,0.100806452,0.096774194
12/15/2020,0,0,0,0.024193548,0.028225806,0.032258065,0.080645161,0.096774194,0.076612903,0.10483871,0.096774194,0.092741935,0.080645161,0.056451613,0.092741935,0.092741935,0.096774194,0.10483871,0.157258065,0.120967742,0.197580645,0.108870968,0.165322581,0.141129032,0.088709677,0.096774194,0.076612903,0.112903226,0.088709677,0.137096774,0.133064516,0.076612903,0.096774194,0.116935484,0.040322581,0.088709677
